Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,FAQ,1980.0,2190.0,2183.0,07 Nov 2023
2,Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,22 May 2025
3,Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,25 May 2025
4,Pudukkottai,Alangudi,Paddy(Dhan)(Common),Other,Local,2000.0,2080.0,2060.0,31 Mar 2025
5,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),B P T,Local,1300.0,1500.0,1400.0,14 Mar 2025
6,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,05 Aug 2024
7,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,07 Mar 2025
8,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,20 Feb 2025
9,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,20 May 2025
10,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,22 May 2025
11,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,1300.0,1500.0,1400.0,23 May 2025
12,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Other,Local,2300.0,2500.0,2400.0,03 Jun 2025
13,Thirunelveli,Ambasamudram,Paddy(Dhan)(Common),Ponni,Local,1300.0,1500.0,1400.0,21 Apr 2025
14,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1000.0,1333.0,1330.0,21 Apr 2022
15,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1225.0,1334.0,1330.0,10 May 2022
16,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1273.0,1333.0,1330.0,31 Mar 2022
17,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1292.0,1549.0,1540.0,05 Apr 2022
18,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,1585.0,1607.0,1596.0,20 Apr 2023
